Time;Open;High;Low;Close;ATR;VolumeTick;RSI 14;EMA 50;EMA 200;VWAP Mensile;VixFix;Delta CloseVWAP
03/08/2009;9285,05;9321,1;9250,74;9320,19;115,86;0;76,33;8663,27;8794,88;NaN;NaN;#VALORE!
04/08/2009;9315,36;9318,08;9206,45;9280,97;112,9;0;73,18;8687,49;8799,72;NaN;NaN;#VALORE!
05/08/2009;9277,19;9325,11;9208,8;9256,26;115,51;0;71,18;8709,8;8804,26;NaN;NaN;#VALORE!
06/08/2009;9258,45;9437,71;9258,45;9370,07;120,55;0;74,61;8735,69;8809,89;NaN;NaN;#VALORE!
09/08/2009;9368,41;9371,96;9290,34;9337,95;118,1;0;72,01;8759,31;8815,14;NaN;NaN;#VALORE!
10/08/2009;9334,33;9334,33;9216,88;9241,45;120,36;0;64,7;8778,22;8819,39;NaN;NaN;#VALORE!
11/08/2009;9236,06;9424,11;9221,02;9361,61;118,42;0;68,93;8801,09;8824,78;NaN;NaN;#VALORE!
12/08/2009;9362,29;9406,5;9305,31;9398,19;118,97;0;70,1;8824,51;8830,49;NaN;NaN;#VALORE!
13/08/2009;9398,04;9401,97;9232,83;9321,4;124,7;0;64,58;8844;8835,37;NaN;NaN;#VALORE!
16/08/2009;9313,85;9313,85;9116,52;9135,34;130,94;0;53,58;8855,42;8838,36;NaN;NaN;#VALORE!
17/08/2009;9134,36;9233,51;9134,36;9217,94;132,13;0;57,07;8869,64;8842,13;NaN;NaN;#VALORE!
18/08/2009;9208,68;9313,09;9131,94;9279,16;132,52;0;59,51;8885,7;8846,48;NaN;NaN;#VALORE!
19/08/2009;9278,55;9363,95;9267,97;9350,05;133,28;0;62,18;8903,91;8851,49;NaN;NaN;#VALORE!
20/08/2009;9347,86;9519,11;9347,25;9505,96;136,5;0;67,3;8927,52;8858;NaN;NaN;#VALORE!
23/08/2009;9506,18;9587,73;9486,23;9509,28;138,72;0;67,4;8950,33;8864,49;NaN;NaN;#VALORE!
24/08/2009;9509,21;9620;9508,98;9539,29;138,53;0;68,35;8973,43;8871,2;NaN;NaN;#VALORE!
25/08/2009;9538,61;9582,97;9485,78;9543,52;137,16;0;68,49;8995,78;8877,89;NaN;NaN;#VALORE!
26/08/2009;9541,63;9609,72;9459,4;9580,63;134,94;0;69,76;9018,72;8884,88;NaN;NaN;#VALORE!
27/08/2009;9582,74;9630,2;9495,98;9544,2;138,7;0;66,92;9039,33;8891,44;NaN;NaN;#VALORE!
30/08/2009;9542,91;9543,06;9436,13;9496,28;137,77;0;63,28;9057,25;8897,46;NaN;NaN;#VALORE!
31/08/2009;9492,32;9557,95;9292,08;9310,6;142,25;0;51,57;9067,18;8901,57;NaN;NaN;#VALORE!
01/09/2009;9306,21;9330,93;9262,3;9280,67;139,93;0;49,96;9075,55;8905,34;NaN;NaN;#VALORE!
02/09/2009;9282,03;9350,27;9252,93;9344,61;134,8;0;53,31;9086,1;8909,71;NaN;NaN;#VALORE!
03/09/2009;9345,36;9445,72;9321,63;9441,27;129,03;0;57,89;9100,03;8915;NaN;NaN;#VALORE!
07/09/2009;9440,13;9511,02;9439,98;9497,34;127,02;0;60,32;9115,61;8920,8;NaN;NaN;#VALORE!
08/09/2009;9496,59;9577,22;9476,18;9547,22;121,3;0;62,4;9132,54;8927,03;NaN;NaN;#VALORE!
09/09/2009;9546,54;9633;9508,22;9627,48;123,36;0;65,53;9151,95;8934;NaN;NaN;#VALORE!
10/09/2009;9625,44;9649,85;9571,56;9605,41;116,67;0;63,95;9169,73;8940,68;NaN;NaN;#VALORE!
13/09/2009;9598,08;9631,11;9535,96;9626,8;116,22;0;64,84;9187,66;8947,51;NaN;NaN;#VALORE!
14/09/2009;9626,42;9713,71;9580,93;9683,41;117,77;0;67,13;9207,1;8954,83;NaN;NaN;#VALORE!
15/09/2009;9683,71;9799,72;9679,18;9791,71;119,44;0;71,03;9230,02;8963,16;NaN;NaN;#VALORE!
16/09/2009;9789,82;9854,58;9749,46;9783,92;116,21;0;70,38;9251,74;8971,32;NaN;NaN;#VALORE!
17/09/2009;9784,75;9847,71;9784,68;9820,2;111,18;0;71,68;9274,04;8979,77;NaN;NaN;#VALORE!
20/09/2009;9818,61;9818,69;9725,88;9778,86;110,2;0;68,03;9293,83;8987,72;NaN;NaN;#VALORE!
21/09/2009;9779,61;9843,4;9771,91;9829,87;96,31;0;70,06;9314,85;8996,1;NaN;NaN;#VALORE!
22/09/2009;9830,63;9917,99;9740,84;9748,55;104,07;0;63,19;9331,86;9003,59;NaN;NaN;#VALORE!
23/09/2009;9749,99;9805,39;9666,03;9707,44;107,07;0;59,99;9346,59;9010,59;NaN;NaN;#VALORE!
