Time;Open;High;Low;Close;ATR;VolumeTick;RSI 14;EMA 50;EMA 200;VWAP Mensile;Delta CloseVWAP
11/05/2021;4140,1;4152,6;4056,9;4063,9;45,74;84588;40,7;4072,61;3742,29;4158,48;-94,58
12/05/2021;4068;4131,8;4034,5;4112,1;48,48;86952;47,36;4074,16;3745,97;4150,75;-38,65
13/05/2021;4137,4;4183;4127,4;4173,5;51,96;43928;54,39;4078,05;3750,23;4152,52;20,98
16/05/2021;4168,7;4174,9;4142,1;4162,9;52,92;55540;53,07;4081,38;3754,33;4153,45;9,45
17/05/2021;4180,8;4183,3;4125,6;4126,9;55,54;36092;48,75;4083,17;3758,04;4151,99;-25,09
18/05/2021;4112,8;4117,1;4060,4;4114,6;57,24;84941;47,33;4084,4;3761,59;4147,71;-33,11
19/05/2021;4111,5;4173,5;4088,5;4158,8;60,71;39464;52,66;4087,32;3765,54;4148,27;10,53
20/05/2021;4167,8;4188,9;4151,1;4155,1;61,41;41746;52,19;4089,97;3769,42;4148,61;6,49
23/05/2021;4168,1;4209,3;4167,1;4196,6;60,61;23314;56,89;4094,16;3773,67;4149,94;46,66
24/05/2021;4213;4213,5;4182,9;4188,1;60,88;32674;55,68;4097,84;3777,79;4151,35;36,75
25/05/2021;4204,3;4207,5;4184,1;4197,2;58,61;26664;56,74;4101,74;3781,96;4152,7;44,5
26/05/2021;4184;4213,2;4182,5;4203,2;57,99;30540;57,46;4105,72;3786,16;4154,35;48,85
27/05/2021;4211,9;4220,2;4204;4204,5;55,59;20982;57,63;4109,59;3790,32;4155,45;49,05
30/05/2021;4209,2;4212,2;4193;4194;51,35;7166;55,75;4112,9;3794,33;4155,74;38,26
31/05/2021;4209,9;4232,8;4197;4200,5;47,28;27074;56,69;4116,33;3798,38;4200,5;0
01/06/2021;4198,3;4217,5;4193;4209,7;42,08;28000;58,05;4120;3802,47;4205,18;4,52
02/06/2021;4206,3;4206,7;4167,4;4193;40,04;38334;54,69;4122,86;3806,35;4200,18;-7,18
03/06/2021;4193,9;4233,8;4185,7;4230,3;41,13;25544;60,23;4127,07;3810,57;4206,65;23,65
06/06/2021;4223,4;4234,2;4215,9;4227,3;38,31;21934;59,6;4131;3814,72;4209,86;17,44
07/06/2021;4228,4;4238,4;4207,8;4227,8;35,75;27686;59,68;4134,8;3818,83;4212,81;14,99
08/06/2021;4227,7;4236,8;4218;4218;31,02;19062;57,4;4138,06;3822,8;4213,34;4,66
09/06/2021;4220,7;4249,6;4207,7;4238,4;31,31;31984;60,75;4142;3826,94;4216,99;21,41
10/06/2021;4240;4248,7;4231,8;4247,3;28,65;17994;62,15;4146,13;3831,12;4219,28;28,02
13/06/2021;4251,2;4257,2;4233,8;4255,3;28,14;17918;63,42;4150,41;3835,34;4221,81;33,49
14/06/2021;4266,3;4267,1;4237,7;4244;28,56;19430;60,35;4154,08;3839,41;4223,38;20,62
15/06/2021;4247,4;4251,3;4201,5;4221,8;29,93;33892;54,76;4156,73;3843,21;4223,2;-1,4
16/06/2021;4204,4;4232;4195,5;4222,3;31,32;42712;54,86;4159,3;3846,98;4223,09;-0,79
17/06/2021;4224,7;4226,5;4162,8;4164,8;34,5;54792;42,93;4159,52;3850,15;4215,23;-50,43
20/06/2021;4158,2;4226,6;4156,5;4224,1;36,74;46126;54,03;4162,05;3853,87;4216,14;7,96
21/06/2021;4228,8;4255,9;4216,3;4247,2;37,81;29720;57,5;4165,39;3857,78;4218,05;29,15
22/06/2021;4256,8;4257,6;4241,3;4241,9;35,96;25946;56,45;4168,39;3861,6;4219,27;22,63
23/06/2021;4251,2;4271,3;4250,2;4266,6;34,62;21916;60,11;4172,24;3865,63;4221,23;45,37
24/06/2021;4268;4287,4;4264,2;4281,4;34,97;18864;62,17;4176,52;3869,77;4223,29;58,11
27/06/2021;4284,6;4292;4274,7;4290,5;34,02;21997;63,41;4180,99;3873,96;4225,88;64,62
28/06/2021;4285;4300,6;4284,7;4291,1;33,81;22006;63,5;4185,31;3878,11;4228,3;62,8
29/06/2021;4293,1;4303,3;4278,6;4299,3;32,59;26388;64,71;4189,78;3882,3;4231,33;67,97
30/06/2021;4305;4320,6;4295,5;4320,6;33,17;25852;67,71;4194,91;3886,66;4320,6;0
01/07/2021;4320,5;4355,9;4318,5;4350,9;34,17;22804;71,44;4201,03;3891,28;4334,8;16,1
04/07/2021;4345,3;4354,4;4341,5;4349,8;32,99;10462;71,12;4206,86;3895,84;4337,46;12,34
05/07/2021;4350,3;4354,1;4314,1;4342,8;32,29;31840;68,99;4212,19;3900,29;4339,33;3,47
06/07/2021;4342,5;4362,3;4329,8;4359,5;32,01;34008;71,2;4217,97;3904,86;4344,82;14,68
07/07/2021;4335,7;4337,7;4288;4319,9;32,56;70378;60,25;4221,97;3908,99;4335,84;-15,94
08/07/2021;4323;4371,9;4321,8;4367,4;31,27;29460;66,84;4227,67;3913,55;4339,98;27,42
11/07/2021;4362,8;4387,4;4350,3;4384,9;31,09;28150;68,88;4233,84;3918,24;4344,97;39,93
12/07/2021;4379,1;4392,4;4365,3;4369,4;31,86;29826;65,05;4239,15;3922,73;4347,55;21,85
13/07/2021;4358,6;4392,7;4358,3;4374,9;32,22;32594;65,78;4244,48;3927,23;4350,38;24,52
14/07/2021;4371,7;4377,9;4340,5;4359,5;33,24;44490;61,9;4248,99;3931,53;4351,51;7,99
15/07/2021;4361,6;4375,7;4322,5;4327;35,8;39808;54,58;4252,05;3935,46;4349,06;-22,06
18/07/2021;4314,8;4314,8;4231,7;4258;41,47;78847;42,96;4252,28;3938,67;4334,06;-76,06
19/07/2021;4278,4;4337,2;4260,7;4324,4;45,36;48876;53,27;4255,11;3942,51;4333,16;-8,76
